	Location	Link	Job Description	Experience	Skills	Organization
38	Pune	https://www.naukri.com/job-listings-Senior-Data-Scientist-Machine-Learning-Oil-Gas-Sector-Rinalytics-Advisors-Pune-5-to-10-years-300818900277?src=jobsearchDesk&sid=15361454729419&xp=39&px=1	- Experience applying machine learning and computer vision principles to real-world data and working in ...	5-10 yrs	Data Scientist, Machine Learning, Data Science, Python, Tensorflow, Theano,...	Rinalytics Advisors
39	Pune	https://www.naukri.com/job-listings-Pythonr-Machine-Learning-Algorithims-Lead-Atos-Pvt-Ltd-Pune-7-to-9-years-290818901013?src=jobsearchDesk&sid=15361454729419&xp=40&px=1	 Machine Learning, Data Mining, Python, Data Extraction, Algorithms... 	7-9 yrs	Technical Lead, Python, MVC, Middleware, Consulting, Information technology...	Atos Pvt Ltd
40	Chennai, Gurgaon	https://www.naukri.com/job-listings-Senior-Engineer-Data-Analytics-Machine-Learning-Fsck-System-Services-Private-Limited-Chennai-Gurgaon-2-to-7-years-290818003443?src=jobsearchDesk&sid=15361454729419&xp=41&px=1	"6.	Present and explain the prototypes to the required team members;Must have : ..."	2-7 yrs	Hadoop, Hive, NoSQL, Spark, Cassandra, Neo4J, Artificial Intelligence...	Fsck System Services  Private Limited
41	United States (U.S)	https://www.naukri.com/job-listings-Machine-Learning-Specialist-H1B-Transfer-us-Opportunity-Data-Core-Systems-Inc-United-States-U-S-7-to-10-years-290817004474?src=jobsearchDesk&sid=15361454729419&xp=42&px=1	 Machine Learning, NLP, Jenkins, SQL, Docker, Google Cloud Platform, GCP... 	7-10 yrs	AWS, Python, Machine Learning, Algorithms, GIT, Agile	Data Core Systems Inc.
42	Bengaluru	https://www.naukri.com/job-listings-Manager-Machine-Learning-Ensemble-Modeling-Classification-Catalyst-Bengaluru-7-to-12-years-250618901512?src=jobsearchDesk&sid=15361454729419&xp=43&px=1	 Deep Learning, Digital Marketing, NLP, Neural Networks, Data Science... 	7-12 yrs	C, Deep Learning, Algorithms, OOP, C++, Java, Data Structures, Python...	Catalyst
43	Bengaluru	https://www.naukri.com/job-listings-Machine-Learning-Engineer-Python-Catalyst-Bengaluru-2-to-7-years-250618900249?src=jobsearchDesk&sid=15361454729419&xp=44&px=1	- 4-8 years of strong hands-on experience in Artificial Intelligence (AI), Machine Learning (ML), NLP, ...	2-7 yrs	Data Science, Machine Learning, Python, Predictive Maintenance, Analytics...	Catalyst
44	Gurgaon	https://www.naukri.com/job-listings-Director-Quant-Analytics-Machine-Learning-Artificial-Intelligenc-HuQuo-Gurgaon-6-to-10-years-230818900261?src=jobsearchDesk&sid=15361454729419&xp=45&px=1	 Natural Language Processing, Machine Learning, NLP, Algorithms... 	6-10 yrs	high frequency trading, machine learning, data analysis, risk management...	HuQuo
45	Pune	https://www.naukri.com/job-listings-Data-Scientist-python-with-Machine-Learning-Mississippi-Consultants-Pune-4-to-8-years-300618000714?src=jobsearchDesk&sid=15361454729419&xp=46&px=1	- At least 5 years- experience in natural language programming experience including semantic ...	4-8 yrs	python, machine learning, information retrieval, nlp, image processing...	Mississippi Consultants
46	Hyderabad	https://www.naukri.com/job-listings-Subject-Matter-Expert-big-Data-machine-Learning-2-6-Years-hyd-HR-Axis-India-Pvt-Ltd-Hyderabad-2-to-6-years-310818001497?src=jobsearchDesk&sid=15361454729419&xp=47&px=1	 Hadoop, Hive, Impala, Deep Learning, NoSQL, Pig, HBase, Java, NLP... 	2-6 yrs	Deep Learning, Interpersonal Skills, Analytical Skills, Problem Solving...	HR Axis India Pvt Ltd.
47	Chennai	https://www.naukri.com/job-listings-CSS-Corp-is-Looking-for-Machine-Learning-Developer-CSS-Corp-Pvt-Ltd-Chennai-5-to-8-years-070917003496?src=jobsearchDesk&sid=15361454729419&xp=48&px=1	Experience with common data science toolkits;Experience with data visualization tools, such as D3, ...	5-8 yrs	computer vision, java, algorithms, c++, python, deep learning...	CSS Corp Pvt Ltd
48	Bengaluru(Sector 2 HSR Layout)	https://www.naukri.com/job-listings-Subject-Matter-Expert-Machine-Learning-Artificial-Intelligence-CHANGE-LEADERS-CONSULTING-Bengaluru-Sector-2-HSR-Layout-3-to-8-years-080718001697?src=jobsearchDesk&sid=15361454729419&xp=49&px=1	 Java, Redis, Solr, Python, SCALA, MySQL, Machine Learning... 	3-8 yrs	team management, handling a team, tableau, r, excel, statistical modeling...	CHANGE LEADERS CONSULTING
49	Chennai	https://www.naukri.com/job-listings-Image-Recognition-Analytics-Engineer-Nlp-machine-Learning-eHelium-Chennai-4-to-8-years-270818900148?src=jobsearchDesk&sid=15361454729419&xp=50&px=1	- Experience in leading multi-engineer projects and mentoring junior engineers;- At least 2 years of ...	4-8 yrs	Deep Learning, Natural Language Processing, Machine Learning...	eHelium
